serialNumber,iaq,timestamp,eVOC,bearing,pressure,humidity,altitude,batteryPercent,eCO2,deviceId,luminance,iaqAccuracy,temperature,userId
m3wjc22wyh88,53.20206,1599295812808,0.76666,104,97175,50.68192,351.391,97,613.1049,fFrU8brLxN5Wea7PQwJg,2294,3,25.73485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25.71529,1600561215334,0.505964,152,96770,61.37154,386.3302,81,503.1377,I1t2t86ZQoGIAv1i30r9,0,2,22.81985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,77.2173,1600187415068,1.158812,-111,97141,44.33738,354.3198,97,806.0453,UefkqbOojs07AR21i0ix,123,3,28.00485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,105.2616,1602286524225,3.272749,-174,97284,61.16103,342.0072,52,1492.871,I1t2t86ZQoGIAv1i30r9,0,3,23.12985,ztx11HwFoJPuDJd1p7lLilvvkjg2
mw2abb4re9uh,72.45354,1598650216568,1.031964,157,95972,51.19994,455.5219,97,729.3531,SAGvj9Ar25aG4i3Xxta1,44,3,23.58485,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,25,1599713427006,0.5,69,97180,56.074,350.9603,97,500,gbeSfksDVEIUEEz60y87,0,0,22.715,U6rvFKB7l8gOFQca1lMf8zP0i8X2
,25,1598408114536,0.5,-47,96535,40.95795,406.658,97,500,UefkqbOojs07AR21i0ix,0,0,25.24061,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,88.14649,1600012514511,3.63995,-140,97672,40.92184,308.6758,97,1563.218,So15xXTTj0GAoVeomUCA,798,3,28.41485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,87.26233,1600015216087,3.333259,-139,97666,42.02185,309.1901,97,1504.99,So15xXTTj0GAoVeomUCA,480,3,28.00985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,223.7796,1598808916610,100.6074,106,96730,52.57495,389.7874,97,3759.011,fFrU8brLxN5Wea7PQwJg,114,3,22.70485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,186.7265,1599660017829,1.454677,7,97357,45.5209,335.7278,97,956.47,UefkqbOojs07AR21i0ix,923,1,25.40485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,138.9666,1601518522124,13.31216,174,96250,50.93295,431.3648,100,2421.031,I1t2t86ZQoGIAv1i30r9,0,3,21.72485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,27.73838,1600333519885,0.513086,107,97332,53.67096,337.8782,97,506.8364,fFrU8brLxN5Wea7PQwJg,1188,3,23.58485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,25,1602235224272,0.5,-172,97446,47.03191,328.0774,56,500,I1t2t86ZQoGIAv1i30r9,196,2,25.99485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,107.9274,1601936714336,1.175914,-12,96380,55.716,420.0878,57,815.737,UefkqbOojs07AR21i0ix,0,3,21.19985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,245.1673,1600170316341,37.58339,-112,97386,45.32138,333.2347,97,3107.625,UefkqbOojs07AR21i0ix,440,3,27.33985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,247.1473,1601686509943,49.67663,0,94210,60.94854,609.9635,78,3292.174,UefkqbOojs07AR21i0ix,0,3,21.48485,ztx11HwFoJPuDJd1p7lLilvvkjg2
VFC7uk23p7z,89.30258,1600017015606,3.406622,-140,97670,42.36835,308.8467,97,1519.392,So15xXTTj0GAoVeomUCA,263,3,27.75485,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,167.703,1598655615666,33.23677,-33,95974,50.77943,455.3474,97,3026.319,UefkqbOojs07AR21i0ix,65,3,24.60485,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,104.2184,1600058113522,1.052366,106,97806,61.80154,297.1888,97,742.3044,fFrU8brLxN5Wea7PQwJg,0,3,20.68985,ztx11HwFoJPuDJd1p7lLilvvkjg2
m3wjc22wyh88,25,1599240013110,0.5,105,97386,40.30682,333.2347,97,500,fFrU8brLxN5Wea7PQwJg,721,2,29.50485,ztx11HwFoJPuDJd1p7lLilvvkjg2
fKuASomCxPUz,113.231,1601807423617,2.259634,-170,95380,42.33038,507.1533,89,1247.821,I1t2t86ZQoGIAv1i30r9,328,3,20.42985,ztx11HwFoJPuDJd1p7lLilvvkjg2
wthsftyK5vgu,242.0621,1598686218250,517.0195,-33,96031,58.0095,450.3899,97,4841.842,UefkqbOojs07AR21i0ix,233,3,24.20485,ztx11HwFoJPuDJd1p7lLilvvkjg2
dFp6ndvpmcg,25,1599692114180,0.5,69,97263,55.334,343.8147,97,500,gbeSfksDVEIUEEz60y87,0,0,23.515,U6rvFKB7l8gOFQca1lMf8zP0i8X2
